Series ID,Year,Period,Label,Value
SUUR0000SA0,2000,M01,2000 Jan,100.3
SUUR0000SA0,2000,M02,2000 Feb,100.9
SUUR0000SA0,2000,M03,2000 Mar,101.6
SUUR0000SA0,2000,M04,2000 Apr,101.6
SUUR0000SA0,2000,M05,2000 May,101.7
SUUR0000SA0,2000,M06,2000 Jun,102.1
SUUR0000SA0,2000,M07,2000 Jul,102.3
SUUR0000SA0,2000,M08,2000 Aug,102.3
SUUR0000SA0,2000,M09,2000 Sep,102.8
SUUR0000SA0,2000,M10,2000 Oct,102.9
SUUR0000SA0,2000,M11,2000 Nov,102.8
SUUR0000SA0,2000,M12,2000 Dec,102.6
SUUR0000SA0,2001,M01,2001 Jan,103.3
SUUR0000SA0,2001,M02,2001 Feb,103.7
SUUR0000SA0,2001,M03,2001 Mar,103.9
SUUR0000SA0,2001,M04,2001 Apr,104.2
SUUR0000SA0,2001,M05,2001 May,104.6
SUUR0000SA0,2001,M06,2001 Jun,104.8
SUUR0000SA0,2001,M07,2001 Jul,104.5
SUUR0000SA0,2001,M08,2001 Aug,104.6
SUUR0000SA0,2001,M09,2001 Sep,104.9
SUUR0000SA0,2001,M10,2001 Oct,104.7
SUUR0000SA0,2001,M11,2001 Nov,104.4
SUUR0000SA0,2001,M12,2001 Dec,103.9
SUUR0000SA0,2002,M01,2002 Jan,104.2
SUUR0000SA0,2002,M02,2002 Feb,104.5
SUUR0000SA0,2002,M03,2002 Mar,105.1
SUUR0000SA0,2002,M04,2002 Apr,105.6
SUUR0000SA0,2002,M05,2002 May,105.6
SUUR0000SA0,2002,M06,2002 Jun,105.6
SUUR0000SA0,2002,M07,2002 Jul,105.7
SUUR0000SA0,2002,M08,2002 Aug,106.0
SUUR0000SA0,2002,M09,2002 Sep,106.3
SUUR0000SA0,2002,M10,2002 Oct,106.4
SUUR0000SA0,2002,M11,2002 Nov,106.3
SUUR0000SA0,2002,M12,2002 Dec,106.0
SUUR0000SA0,2003,M01,2003 Jan,106.5
SUUR0000SA0,2003,M02,2003 Feb,107.3
SUUR0000SA0,2003,M03,2003 Mar,107.9
SUUR0000SA0,2003,M04,2003 Apr,107.7
SUUR0000SA0,2003,M05,2003 May,107.5
SUUR0000SA0,2003,M06,2003 Jun,107.6
SUUR0000SA0,2003,M07,2003 Jul,107.7
SUUR0000SA0,2003,M08,2003 Aug,108.2
SUUR0000SA0,2003,M09,2003 Sep,108.5
SUUR0000SA0,2003,M10,2003 Oct,108.4
SUUR0000SA0,2003,M11,2003 Nov,108.0
SUUR0000SA0,2003,M12,2003 Dec,107.8
SUUR0000SA0,2004,M01,2004 Jan,108.5
SUUR0000SA0,2004,M02,2004 Feb,109.1
SUUR0000SA0,2004,M03,2004 Mar,109.7
SUUR0000SA0,2004,M04,2004 Apr,110.0
SUUR0000SA0,2004,M05,2004 May,110.6
SUUR0000SA0,2004,M06,2004 Jun,110.8
SUUR0000SA0,2004,M07,2004 Jul,110.7
SUUR0000SA0,2004,M08,2004 Aug,110.7
SUUR0000SA0,2004,M09,2004 Sep,111.0
SUUR0000SA0,2004,M10,2004 Oct,111.6
SUUR0000SA0,2004,M11,2004 Nov,111.6
SUUR0000SA0,2004,M12,2004 Dec,111.2
SUUR0000SA0,2005,M01,2005 Jan,111.3
SUUR0000SA0,2005,M02,2005 Feb,111.9
SUUR0000SA0,2005,M03,2005 Mar,112.6
SUUR0000SA0,2005,M04,2005 Apr,113.4
SUUR0000SA0,2005,M05,2005 May,113.3
SUUR0000SA0,2005,M06,2005 Jun,113.2
SUUR0000SA0,2005,M07,2005 Jul,113.7
SUUR0000SA0,2005,M08,2005 Aug,114.3
SUUR0000SA0,2005,M09,2005 Sep,115.6
SUUR0000SA0,2005,M10,2005 Oct,115.7
SUUR0000SA0,2005,M11,2005 Nov,114.9
SUUR0000SA0,2005,M12,2005 Dec,114.4
SUUR0000SA0,2006,M01,2006 Jan,115.2
SUUR0000SA0,2006,M02,2006 Feb,115.4
SUUR0000SA0,2006,M03,2006 Mar,116.0
SUUR0000SA0,2006,M04,2006 Apr,116.9
SUUR0000SA0,2006,M05,2006 May,117.5
SUUR0000SA0,2006,M06,2006 Jun,117.7
SUUR0000SA0,2006,M07,2006 Jul,118.1
SUUR0000SA0,2006,M08,2006 Aug,118.3
SUUR0000SA0,2006,M09,2006 Sep,117.8
SUUR0000SA0,2006,M10,2006 Oct,117.1
SUUR0000SA0,2006,M11,2006 Nov,116.9
SUUR0000SA0,2006,M12,2006 Dec,117.0
SUUR0000SA0,2007,M01,2007 Jan,117.330
SUUR0000SA0,2007,M02,2007 Feb,117.877
SUUR0000SA0,2007,M03,2007 Mar,118.913
SUUR0000SA0,2007,M04,2007 Apr,119.666
SUUR0000SA0,2007,M05,2007 May,120.292
SUUR0000SA0,2007,M06,2007 Jun,120.439
SUUR0000SA0,2007,M07,2007 Jul,120.377
SUUR0000SA0,2007,M08,2007 Aug,120.288
SUUR0000SA0,2007,M09,2007 Sep,120.638
SUUR0000SA0,2007,M10,2007 Oct,120.885
SUUR0000SA0,2007,M11,2007 Nov,121.481
SUUR0000SA0,2007,M12,2007 Dec,121.295
SUUR0000SA0,2008,M01,2008 Jan,121.867
SUUR0000SA0,2008,M02,2008 Feb,122.250
SUUR0000SA0,2008,M03,2008 Mar,123.323
SUUR0000SA0,2008,M04,2008 Apr,124.116
SUUR0000SA0,2008,M05,2008 May,125.171
SUUR0000SA0,2008,M06,2008 Jun,126.307
SUUR0000SA0,2008,M07,2008 Jul,126.918
SUUR0000SA0,2008,M08,2008 Aug,126.594
SUUR0000SA0,2008,M09,2008 Sep,126.551
SUUR0000SA0,2008,M10,2008 Oct,125.500
SUUR0000SA0,2008,M11,2008 Nov,123.044
SUUR0000SA0,2008,M12,2008 Dec,121.557
SUUR0000SA0,2009,M01,2009 Jan,122.095
SUUR0000SA0,2009,M02,2009 Feb,122.598
SUUR0000SA0,2009,M03,2009 Mar,122.803
SUUR0000SA0,2009,M04,2009 Apr,123.053
SUUR0000SA0,2009,M05,2009 May,123.427
SUUR0000SA0,2009,M06,2009 Jun,124.485
SUUR0000SA0,2009,M07,2009 Jul,124.293
SUUR0000SA0,2009,M08,2009 Aug,124.620
SUUR0000SA0,2009,M09,2009 Sep,124.706
SUUR0000SA0,2009,M10,2009 Oct,124.791
SUUR0000SA0,2009,M11,2009 Nov,124.788
SUUR0000SA0,2009,M12,2009 Dec,124.544
SUUR0000SA0,2010,M01,2010 Jan,124.987
SUUR0000SA0,2010,M02,2010 Feb,124.972
SUUR0000SA0,2010,M03,2010 Mar,125.442
SUUR0000SA0,2010,M04,2010 Apr,125.620
SUUR0000SA0,2010,M05,2010 May,125.678
SUUR0000SA0,2010,M06,2010 Jun,125.521
SUUR0000SA0,2010,M07,2010 Jul,125.536
SUUR0000SA0,2010,M08,2010 Aug,125.756
SUUR0000SA0,2010,M09,2010 Sep,125.830
SUUR0000SA0,2010,M10,2010 Oct,125.969
SUUR0000SA0,2010,M11,2010 Nov,125.920
SUUR0000SA0,2010,M12,2010 Dec,126.143
SUUR0000SA0,2011,M01,2011 Jan,126.778
SUUR0000SA0,2011,M02,2011 Feb,127.363
SUUR0000SA0,2011,M03,2011 Mar,128.585
SUUR0000SA0,2011,M04,2011 Apr,129.483
SUUR0000SA0,2011,M05,2011 May,129.999
SUUR0000SA0,2011,M06,2011 Jun,129.846
SUUR0000SA0,2011,M07,2011 Jul,129.983
SUUR0000SA0,2011,M08,2011 Aug,130.351
SUUR0000SA0,2011,M09,2011 Sep,130.635
SUUR0000SA0,2011,M10,2011 Oct,130.373
SUUR0000SA0,2011,M11,2011 Nov,130.196
SUUR0000SA0,2011,M12,2011 Dec,129.844
SUUR0000SA0,2012,M01,2012 Jan,130.438
SUUR0000SA0,2012,M02,2012 Feb,130.953
SUUR0000SA0,2012,M03,2012 Mar,131.905
SUUR0000SA0,2012,M04,2012 Apr,132.284
SUUR0000SA0,2012,M05,2012 May,132.154
SUUR0000SA0,2012,M06,2012 Jun,131.956
SUUR0000SA0,2012,M07,2012 Jul,131.731
SUUR0000SA0,2012,M08,2012 Aug,132.430
SUUR0000SA0,2012,M09,2012 Sep,132.988
SUUR0000SA0,2012,M10,2012 Oct,132.892
SUUR0000SA0,2012,M11,2012 Nov,132.208
SUUR0000SA0,2012,M12,2012 Dec,131.770
SUUR0000SA0,2013,M01,2013 Jan,132.137
SUUR0000SA0,2013,M02,2013 Feb,133.204
SUUR0000SA0,2013,M03,2013 Mar,133.558
SUUR0000SA0,2013,M04,2013 Apr,133.421
SUUR0000SA0,2013,M05,2013 May,133.626
SUUR0000SA0,2013,M06,2013 Jun,133.900
SUUR0000SA0,2013,M07,2013 Jul,133.919
SUUR0000SA0,2013,M08,2013 Aug,134.098
SUUR0000SA0,2013,M09,2013 Sep,134.255
SUUR0000SA0,2013,M10,2013 Oct,133.876
SUUR0000SA0,2013,M11,2013 Nov,133.596
SUUR0000SA0,2013,M12,2013 Dec,133.509
SUUR0000SA0,2014,M01,2014 Jan,134.017
SUUR0000SA0,2014,M02,2014 Feb,134.542
SUUR0000SA0,2014,M03,2014 Mar,135.375
SUUR0000SA0,2014,M04,2014 Apr,135.771
SUUR0000SA0,2014,M05,2014 May,136.216
SUUR0000SA0,2014,M06,2014 Jun,136.433
SUUR0000SA0,2014,M07,2014 Jul,136.392
SUUR0000SA0,2014,M08,2014 Aug,136.127
SUUR0000SA0,2014,M09,2014 Sep,136.211
SUUR0000SA0,2014,M10,2014 Oct,135.891
SUUR0000SA0,2014,M11,2014 Nov,135.107
SUUR0000SA0,2014,M12,2014 Dec,134.207
SUUR0000SA0,2015,M01,2015 Jan,133.487
SUUR0000SA0,2015,M02,2015 Feb,134.053
SUUR0000SA0,2015,M03,2015 Mar,134.969
SUUR0000SA0,2015,M04,2015 Apr,135.222
SUUR0000SA0,2015,M05,2015 May,135.977
SUUR0000SA0,2015,M06,2015 Jun,136.391
SUUR0000SA0,2015,M07,2015 Jul,136.371
SUUR0000SA0,2015,M08,2015 Aug,136.125
SUUR0000SA0,2015,M09,2015 Sep,135.837
SUUR0000SA0,2015,M10,2015 Oct,135.735
SUUR0000SA0,2015,M11,2015 Nov,135.393
SUUR0000SA0,2015,M12,2015 Dec,134.788
SUUR0000SA0,2016,M01,2016 Jan,134.966
SUUR0000SA0,2016,M02,2016 Feb,134.953
SUUR0000SA0,2016,M03,2016 Mar,135.655
SUUR0000SA0,2016,M04,2016 Apr,136.332
SUUR0000SA0,2016,M05,2016 May,136.895
SUUR0000SA0,2016,M06,2016 Jun,137.329
SUUR0000SA0,2016,M07,2016 Jul,137.007
SUUR0000SA0,2016,M08,2016 Aug,137.026
SUUR0000SA0,2016,M09,2016 Sep,137.328
SUUR0000SA0,2016,M10,2016 Oct,137.536
SUUR0000SA0,2016,M11,2016 Nov,137.253
SUUR0000SA0,2016,M12,2016 Dec,137.221
SUUR0000SA0,2017,M01,2017 Jan,138.035
SUUR0000SA0,2017,M02,2017 Feb,138.403
SUUR0000SA0,2017,M03,2017 Mar,138.461
SUUR0000SA0,2017,M04,2017 Apr,138.810
SUUR0000SA0,2017,M05,2017 May,138.922
SUUR0000SA0,2017,M06,2017 Jun,138.989
SUUR0000SA0,2017,M07,2017 Jul,138.755
SUUR0000SA0,2017,M08,2017 Aug,139.128
SUUR0000SA0,2017,M09,2017 Sep,139.878
SUUR0000SA0,2017,M10,2017 Oct,139.782
SUUR0000SA0,2017,M11,2017 Nov,139.720
SUUR0000SA0,2017,M12,2017 Dec,139.546
SUUR0000SA0,2018,M01,2018 Jan,140.239
SUUR0000SA0,2018,M02,2018 Feb,140.805
SUUR0000SA0,2018,M03,2018 Mar,141.142
SUUR0000SA0,2018,M04,2018 Apr,141.662
SUUR0000SA0,2018,M05,2018 May,142.146
SUUR0000SA0,2018,M06,2018 Jun,142.349
SUUR0000SA0,2018,M07,2018 Jul,142.317
SUUR0000SA0,2018,M08,2018 Aug,142.317
SUUR0000SA0,2018,M09,2018 Sep,142.489
SUUR0000SA0,2018,M10,2018 Oct,142.700
SUUR0000SA0,2018,M11,2018 Nov,142.238
SUUR0000SA0,2018,M12,2018 Dec,141.699
SUUR0000SA0,2019,M01,2019 Jan,142.001
SUUR0000SA0,2019,M02,2019 Feb,142.571
SUUR0000SA0,2019,M03,2019 Mar,143.297
SUUR0000SA0,2019,M04,2019 Apr,143.926
SUUR0000SA0,2019,M05,2019 May,144.183
SUUR0000SA0,2019,M06,2019 Jun,144.243
SUUR0000SA0,2019,M07,2019 Jul,144.409
SUUR0000SA0,2019,M08,2019 Aug,144.388
